"description","total_quantity","total_revenue","avg_unitprice","total_profit"
"LUNCH BAG SUKI DESIGN ",9601,"$15,384.05",1.6532583065380493,"$526,309.98"
"HEART OF WICKER LARGE",9591,"$28,520.95",2.9568376068376068,"$9,575,591.84"
"PAPER CHAIN KIT VINTAGE CHRISTMAS",9433,"$25,669.27",2.9365357643758766,"$1,481,029.66"
"STRAWBERRY CERAMIC TRINKET BOX",9328,"$10,895.52",1.2444077669902913,"$870,085.56"
"PACK OF 12 TRADITIONAL CRAYONS",9314,"$3,754.89",0.43211180124223602484,"$510,323.60"
"BAG 125g SWIRLY MARBLES",9272,"$3,431.35",0.42748987854251012146,"$1,001,789.72"
"WOODLAND CHARLOTTE BAG",9237,"$7,277.24",0.84547619047619047619,"$483,306.02"
"PENS ASSORTED FUNNY FACE",9146,"$2,320.58",0.22919075144508670520,"$400,567.70"
"ROSES REGENCY TEACUP AND SAUCER ",9132,"$24,865.60",2.9234831460674157,"$2,394,958.38"
"LUNCH BAG WOODLAND",9115,"$14,537.11",1.6592636579572447,"$589,132.98"
"CHARLOTTE BAG SUKI DESIGN",8975,"$7,138.65",0.85130217028380634391,"$324,303.56"
"JUMBO BAG 50'S CHRISTMAS ",8954,"$17,679.72",2.0702990033222591,"$870,919.78"
"POPART WOODEN PENCILS ASST",8900,"$380.00",0.04347826086956521739,"$85,620.00"
"SOLDIERS EGG CUP ",8821,"$10,150.22",1.2574260355029586,"$1,397,839.32"
"RAIN PONCHO RETROSPOT",8755,"$6,964.63",0.86333333333333333333,"$4,639,513.84"
"JUMBO BAG DOILEY PATTERNS",8737,"$16,741.26",2.0463537117903930,"$1,643,745.74"
"6 RIBBONS RUSTIC CHARM",8605,"$14,988.59",1.7783355525965379,"$563,982.04"
"FANCY FONTS BIRTHDAY WRAP",8600,"$3,430.00",0.41827586206896551724,"$633,570.00"
"PACK OF 12 HEARTS DESIGN TISSUES ",8569,"$2,550.29",0.33382271468144044321,"$541,592.00"
"NATURAL SLATE HEART CHALKBOARD ",8480,"$24,245.52",2.9750612244897959,"$1,405,216.86"
"HANGING HEART ZINC T-LIGHT HOLDER",8470,"$6,830.59",0.86865060240963855422,"$381,106.34"
"CLOTHES PEGS RETROSPOT PACK 24 ",8418,"$12,545.38",1.5954783950617284,"$488,254.42"
"FUNKY DIVA PEN",8328,"$7,010.94",0.85419354838709677419,"$590,513.66"
"WOODEN PICTURE FRAME WHITE FINISH",8276,"$20,001.65",2.6555129650507328,"$858,980.60"
"ANTIQUE SILVER TEA GLASS ENGRAVED",8273,"$9,339.34",1.2458219178082192,"$947,184.22"
"SET OF 12 FAIRY CAKE BAKING CASES",8243,"$6,469.45",0.82397894736842105263,"$584,880.62"
"JUMBO BAG SPACEBOY DESIGN",8236,"$15,331.02",2.0364681724845996,"$1,713,838.20"
"CREAM HEART CARD HOLDER",8195,"$22,715.57",3.8768627450980392,"$7,779,644.84"
"JUMBO BAG WOODLAND ANIMALS",8187,"$15,511.60",2.0361971830985915,"$1,223,654.34"
"HAND OVER THE CHOCOLATE   SIGN ",8164,"$15,539.11",2.1021308724832215,"$1,645,959.00"
"JAM MAKING SET WITH JARS",8151,"$32,662.97",4.1837204058624577,"$1,199,122.18"
"SET OF 20 VINTAGE CHRISTMAS NAPKINS",8122,"$6,530.26",0.84544031311154598826,"$601,263.06"
"HAND WARMER OWL DESIGN",8115,"$16,237.63",2.1126767676767677,"$1,259,584.94"
"PACK OF 60 SPACEBOY CAKE CASES",8103,"$4,131.69",0.55276190476190476190,"$306,223.24"
"ROUND SNACK BOXES SET OF4 WOODLAND ",8100,"$22,175.52",2.9357471264367816,"$1,639,047.10"
"TRADITIONAL MODELLING CLAY",8014,"$9,311.47",1.2727893175074184,"$1,289,497.42"
"WRAP ALPHABET DESIGN",7950,"$3,207.00",0.41733905579399141631,"$206,343.00"
"ICE CREAM SUNDAE LIP GLOSS",7920,"$9,668.16",1.2449397590361446,"$516,758.64"
"TRADITIONAL WOODEN SKIPPING ROPE",7919,"$10,019.47",1.3947486033519553,"$2,491,904.26"
"ROTATING SILVER ANGELS T-LIGHT HLDR",7907,"$17,592.52",2.6058409785932722,"$2,689,101.40"
"SPACEBOY BIRTHDAY CARD",7858,"$3,130.22",0.42345088161209068010,"$174,227.70"
"RED HANGING HEART T-LIGHT HOLDER",7759,"$22,624.69",2.9483908045977011,"$4,113,912.92"
"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",7757,"$14,632.97",2.0593201754385965,"$1,257,905.50"
"GARDENERS KNEELING PAD KEEP CALM ",7740,"$12,493.48",1.6638151041666667,"$450,328.12"
"SET OF 60 I LOVE LONDON CAKE CASES ",7727,"$3,729.05",0.56841269841269841270,"$575,044.80"
"GUMBALL COAT RACK",7688,"$17,580.35",2.4994880546075085,"$811,778.10"
"PLASTERS IN TIN SPACEBOY",7664,"$12,151.80",1.6570707070707071,"$785,757.38"
"SPOTTY BUNTING",7639,"$35,539.25",4.9179351032448378,"$1,383,155.10"
"LUNCH BAG ALPHABET DESIGN",7554,"$12,029.06",1.6529210134128167,"$738,836.00"
"BLUE HARMONICA IN BOX ",7434,"$9,222.63",1.2807020872865275,"$461,252.74"
"RECIPE BOX PANTRY YELLOW DESIGN",7373,"$20,859.27",2.9624199288256228,"$2,300,994.80"
"SET/6 RED SPOTTY PAPER PLATES",7351,"$5,496.53",0.82896341463414634146,"$360,518.04"
"PACK OF 12 SUKI TISSUES ",7346,"$2,083.58",0.34107011070110701107,"$591,713.30"
"T-LIGHT GLASS FLUTED ANTIQUE",7336,"$8,378.89",1.2339097744360902,"$515,987.42"
"PLASTERS IN TIN WOODLAND ANIMALS",7307,"$11,637.43",1.6501322314049587,"$638,762.40"
"CHARLOTTE BAG PINK POLKADOT",7306,"$5,840.64",0.86150905432595573441,"$316,777.62"
"60 CAKE CASES DOLLY GIRL DESIGN",7247,"$3,755.41",0.56284552845528455285,"$307,053.98"
"WRAP ENGLISH ROSE ",7226,"$2,990.92",0.41943775100401606426,"$150,597.00"
"ALARM CLOCK BAKELIKE RED ",7221,"$25,925.20",3.7667074527252503,"$3,397,355.44"
"GINGERBREAD MAN COOKIE CUTTER",7204,"$8,625.13",1.2612762237762238,"$416,851.68"
"Manual",7173,"$53,779.93",175.2915845070422535,"$1,848,238.78"
"VINTAGE HEADS AND TAILS CARD GAME ",7143,"$8,531.41",1.2709164969450102,"$632,726.78"
"PINK CREAM FELT CRAFT TRINKET BOX ",7131,"$8,648.49",1.2744545454545455,"$421,217.10"
"CHARLOTTE BAG APPLES DESIGN",7039,"$5,632.15",0.84299765807962529274,"$357,546.10"
"SET OF 3 CAKE TINS PANTRY DESIGN ",7020,"$33,347.80",4.9536151855047455,"$3,052,081.24"
"SET 12 KIDS COLOUR  CHALK STICKS",7013,"$2,814.70",0.42713286713286713287,"$496,544.68"
"BLUE POLKADOT WRAP",6925,"$2,808.50",0.41694444444444444444,"$151,654.00"
"PAPER BUNTING RETROSPOT",6879,"$18,791.89",2.9046945898778360,"$692,882.90"
"STRAWBERRY CHARLOTTE BAG",6847,"$5,520.95",0.86014000000000000000,"$257,631.42"
"LARGE CIRCULAR MIRROR MOBILE",6821,"$6,107.05",1.1177419354838710,"$1,006,916.40"
"BOX OF 24 COCKTAIL PARASOLS",6808,"$2,810.67",0.43082666666666666667,"$147,431.66"
"12 PENCILS SMALL TUBE SKULL",6734,"$4,235.10",0.64834983498349834983,"$571,808.50"
"JUMBO BAG PEARS",6733,"$13,043.24",2.0721383647798742,"$761,160.90"
"POLKADOT PEN",6625,"$5,475.25",0.84514018691588785047,"$640,713.92"
"ICE CREAM PEN LIP GLOSS ",6607,"$8,077.31",1.2450704225352113,"$415,166.74"
"SET/6 RED SPOTTY PAPER CUPS",6589,"$4,009.49",0.65878378378378378378,"$357,792.70"
"REGENCY TEA PLATE ROSES ",6575,"$10,190.79",1.6575379939209726,"$1,251,576.10"
"LUNCH BAG DOLLY GIRL DESIGN",6545,"$10,360.69",1.6559283387622150,"$507,285.30"
"PACK OF 12 RED RETROSPOT TISSUES ",6523,"$2,003.31",0.32813492063492063492,"$209,000.44"
"SET/10 RED POLKADOT PARTY CANDLES",6502,"$7,799.18",1.2466860465116279,"$674,089.66"
"SPACEBOY GIFT WRAP",6502,"$2,662.84",0.41864734299516908213,"$166,363.84"
"LUNCH BAG DOILEY PATTERN ",6482,"$10,331.30",1.6423566878980892,"$413,522.50"
"ROUND SNACK BOXES SET OF 4 FRUITS ",6481,"$17,604.99",2.9280042462845011,"$6,318,926.70"
"DINOSAUR KEYRINGS ASSORTED",6462,"$1,332.93",0.21222222222222222222,"$111,990.12"
"LUNCH BAG VINTAGE DOILY ",6452,"$10,370.76",1.6497833935018051,"$354,830.46"
"CHRISTMAS PUDDING TRINKET POT ",6440,"$2,892.02",0.61279329608938547486,"$828,365.18"
"GREEN REGENCY TEACUP AND SAUCER",6430,"$17,806.34",2.9422670375521558,"$474,278.54"
"PAPER POCKET TRAVELING FAN ",6419,"$697.06",0.13692307692307692308,"$279,127.80"
"HOT BATHS METAL SIGN",6415,"$12,832.14",2.0818316831683168,"$1,616,495.16"
"12 PENCILS SMALL TUBE RED RETROSPOT",6400,"$4,101.20",0.64904761904761904762,"$607,303.40"
"PINK POLKADOT WRAP ",6350,"$2,593.00",0.41690140845070422535,"$113,532.00"
"GARDENERS KNEELING PAD CUP OF TEA ",6303,"$9,963.39",1.6653004622496148,"$1,060,438.94"
"WOODEN FRAME ANTIQUE WHITE ",6282,"$17,625.07",2.9329756097560976,"$347,836.26"
"10 COLOUR SPACEBOY PEN",6267,"$5,209.17",0.87246913580246913580,"$275,253.40"
"LUNCH BAG VINTAGE LEAF DESIGN",6225,"$10,006.45",1.6451219512195122,"$296,505.80"
"FELTCRAFT BUTTERFLY HEARTS",6127,"$8,314.55",1.4642163355408389,"$2,069,706.70"
"HAND WARMER SCOTTY DOG DESIGN",6118,"$12,248.76",2.0893027888446215,"$672,171.24"
"PACK OF 20 NAPKINS PANTRY DESIGN",6102,"$4,966.32",0.85063716814159292035,"$193,664.82"
"RECYCLING BAG RETROSPOT ",6088,"$11,942.43",2.1248067632850242,"$2,107,322.76"
"PACK OF 6 BIRDY GIFT TAGS",6062,"$7,149.70",1.2588529411764706,"$494,499.80"
"SET OF 3 HEART COOKIE CUTTERS",6019,"$7,741.84",1.3277067669172932,"$1,036,365.98"
"HAND WARMER BIRD DESIGN",6001,"$12,081.43",2.1100409836065574,"$562,564.28"
"SET OF 60 VINTAGE LEAF CAKE CASES ",5967,"$3,098.21",0.56356466876971608833,"$311,282.68"
"REGENCY TEA PLATE GREEN ",5966,"$9,184.90",1.6725830258302583,"$1,727,065.66"
"GINGHAM HEART DECORATION",5964,"$4,828.38",0.85994117647058823529,"$2,221,194.52"
"SET OF 12 MINI LOAF BAKING CASES",5963,"$4,675.61",0.82464864864864864865,"$412,391.90"
"PLASTERS IN TIN CIRCUS PARADE ",5952,"$9,596.96",1.6582109227871940,"$315,160.50"
"WOOD BLACK BOARD ANT WHITE FINISH",5921,"$34,478.01",7.4641419141914191,"$4,733,809.78"
"BALLOON WATER BOMB PACK OF 35",5897,"$2,254.14",0.41753424657534246575,"$1,582,191.00"
"TRADITIONAL KNITTING NANCY",5895,"$9,297.87",1.6413243761996161,"$266,390.96"
"FELTCRAFT 6 FLOWER FRIENDS",5890,"$11,566.39",2.1034249471458774,"$2,146,345.54"
"PLASTERS IN TIN STRONGMAN",5885,"$9,462.29",1.6487852494577007,"$594,492.60"
"SET/5 RED RETROSPOT LID GLASS BOWLS",5882,"$16,569.58",2.9530140485312899,"$632,547.34"
"SET OF 3 REGENCY CAKE TINS",5856,"$26,625.68",4.9328335625859697,"$2,466,725.80"
"ESSENTIAL BALM 3.5g TIN IN ENVELOPE",5856,"$383.76",0.16666666666666666667,"$955,299.24"
"GRAND CHOCOLATECANDLE",5801,"$7,785.05",1.4284860557768924,"$1,084,794.70"
"WRAP PINK FAIRY CAKES ",5800,"$2,331.00",0.41688622754491017964,"$260,344.00"
"SKULLS AND CROSSBONES WRAP",5800,"$2,356.00",0.41769696969696969697,"$157,044.00"
"WOODEN BOX OF DOMINOES",5778,"$7,215.95",1.2799356223175966,"$449,079.88"
"SWEETHEART CERAMIC TRINKET BOX",5757,"$6,875.86",1.2733419689119171,"$264,739.18"
"ZINC METAL HEART DECORATION",5757,"$7,108.68",1.2554582484725051,"$248,770.26"
"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",5753,"$6,923.17",1.2448502994011976,"$298,692.62"
"JUMBO STORAGE BAG SKULLS",5706,"$10,890.79",2.0277130977130977,"$495,153.68"
"SINGLE HEART ZINC T-LIGHT HOLDER",5700,"$5,664.78",1.0281360946745562,"$220,235.14"
"WOODEN SCHOOL COLOURING SET",5695,"$9,072.87",1.6561764705882353,"$704,911.20"
"SET OF 72 RETROSPOT PAPER  DOILIES",5680,"$7,947.37",1.4629076086956522,"$553,552.90"
"SMALL CERAMIC TOP STORAGE JAR ",5666,"$4,184.18",0.82706521739130434783,"$1,583,210.44"
"COLOUR GLASS. STAR T-LIGHT HOLDER",5655,"$16,570.29",3.4532142857142857,"$3,415,621.82"
"ALARM CLOCK BAKELIKE GREEN",5641,"$20,880.40",3.7910148514851485,"$972,384.56"
"PENS ASSORTED SPACEBALL",5636,"$1,219.88",0.27347107438016528926,"$87,913.44"
"CHINESE DRAGON PAPER LANTERNS",5524,"$1,870.70",0.51133333333333333333,"$527,239.94"
"BATHROOM METAL SIGN",5505,"$3,018.05",0.56417525773195876289,"$279,971.28"
"HEART FILIGREE DOVE  SMALL",5439,"$6,671.07",1.2456321839080460,"$376,621.20"
"SET OF 6 SPICE TINS PANTRY DESIGN",5372,"$20,530.00",3.9175074183976261,"$4,113,990.70"
"SWALLOWS GREETING CARD",5361,"$2,130.63",0.41922448979591836735,"$328,188.36"
"HOME SWEET HOME MUG",5347,"$6,708.11",1.4182943143812709,"$1,781,010.28"
"PINK REGENCY TEACUP AND SAUCER",5343,"$14,769.49",2.9354109589041096,"$466,028.26"
"DOORMAT KEEP CALM AND COME IN",5342,"$35,913.85",7.9135114503816794,"$3,078,464.18"
"HOT WATER BOTTLE KEEP CALM",5338,"$24,426.30",4.8671621621621622,"$1,062,071.70"
"WRAP VINTAGE LEAF DESIGN",5326,"$2,140.92",0.41739130434782608696,"$247,497.00"
"CHRISTMAS HANGING STAR WITH BELL",5305,"$2,443.07",0.56677248677248677249,"$168,456.50"
"PACK OF 12 WOODLAND TISSUES ",5295,"$1,512.93",0.33620512820512820513,"$212,554.36"
"SET OF 3 BUTTERFLY COOKIE CUTTERS",5293,"$6,718.90",1.3282480314960630,"$265,292.04"
"WRAP RED APPLES ",5275,"$2,167.50",0.41908045977011494253,"$124,370.00"
"SAVE THE PLANET MUG",5265,"$6,151.78",1.3763272727272727,"$1,618,074.98"
"SET/10 PINK POLKADOT PARTY CANDLES",5257,"$6,353.58",1.2514285714285714,"$466,531.44"
"CACTI T-LIGHT CANDLES",5217,"$2,078.66",0.41946564885496183206,"$225,598.56"
"SET OF 3 NOTEBOOKS IN PARCEL",5207,"$8,283.75",1.6875000000000000,"$970,800.74"
"WRAP POPPIES  DESIGN",5175,"$2,105.50",0.41861635220125786164,"$205,882.00"
"PACK OF 12 SKULL TISSUES",5166,"$1,506.24",0.32366666666666666667,"$1,197,352.80"
"CHOCOLATE HOT WATER BOTTLE",5160,"$23,624.24",4.8738655462184874,"$546,232.80"
"36 DOILIES VINTAGE CHRISTMAS",5153,"$7,006.25",1.4363354037267081,"$1,113,961.80"
"CHARLOTTE BAG DOLLY GIRL DESIGN",5085,"$4,028.19",0.84553008595988538682,"$238,545.66"
"ALARM CLOCK BAKELIKE PINK",5074,"$18,569.09",3.7871497584541063,"$2,418,613.30"
"CARD BILLBOARD FONT",5038,"$2,072.79",0.42735735735735735736,"$71,188.28"
"RED STRIPE CERAMIC DRAWER KNOB",5035,"$6,224.03",1.3062390670553936,"$234,335.02"
"BAG 250g SWIRLY MARBLES",5004,"$3,856.38",0.86378787878787878788,"$463,549.46"
"BLUE STRIPE CERAMIC DRAWER KNOB",4969,"$6,284.25",1.3257650273224044,"$193,275.20"
"PACK OF 60 MUSHROOM CAKE CASES",4967,"$2,513.13",0.55231833910034602076,"$178,142.34"
"PENS ASSORTED FUNKY JEWELED ",4933,"$984.73",0.20811764705882352941,"$167,301.72"
"REVOLVER WOODEN RULER ",4917,"$8,950.29",1.9619594594594595,"$1,097,384.40"
"JUMBO BAG VINTAGE CHRISTMAS ",4908,"$9,748.34",2.0784343434343434,"$505,651.92"
"BLUE VINTAGE SPOT BEAKER",4901,"$4,528.29",0.84646341463414634146,"$4,303,962.90"
"ZINC T-LIGHT HOLDER STARS SMALL",4894,"$3,879.98",0.83697478991596638655,"$233,932.26"
"PAPER CHAIN KIT EMPIRE",4893,"$13,435.15",2.9071801566579634,"$885,612.90"
"SET OF 6 TEA TIME BAKING CASES",4879,"$5,687.15",1.2396296296296296,"$477,168.06"
"WRAP CHRISTMAS VILLAGE",4876,"$2,003.92",0.41842857142857142857,"$145,909.00"
"TRAVEL SEWING KIT",4864,"$7,787.36",1.6593233082706767,"$596,159.28"
"BLACK HEART CARD HOLDER",4844,"$12,261.90",3.7988023952095808,"$5,823,561.88"
"WOODEN TREE CHRISTMAS SCANDINAVIAN",4808,"$1,665.16",0.40500000000000000000,"$40,851.02"
"BAKING SET 9 PIECE RETROSPOT ",4797,"$23,007.55",4.9887427912341407,"$1,244,884.82"
"CHARLOTTE BAG VINTAGE ALPHABET ",4752,"$3,786.22",0.85278287461773700306,"$227,759.90"
"HAND WARMER UNION JACK",4746,"$9,550.56",2.0831276595744681,"$397,084.68"
"FANCY FONT BIRTHDAY CARD, ",4740,"$1,910.88",0.41857707509881422925,"$167,173.92"
"MAGIC DRAWING SLATE PURDEY",4721,"$1,782.18",0.41290540540540540541,"$370,436.04"
"PINK VINTAGE SPOT BEAKER",4679,"$4,384.83",0.84659090909090909091,"$4,674,127.00"
"WRAP DOILEY DESIGN",4675,"$1,915.50",0.41851851851851851852,"$83,772.00"
"SILVER HANGING T-LIGHT HOLDER",4665,"$7,193.25",1.6326771653543307,"$554,469.60"
"SET OF TEA COFFEE SUGAR TINS PANTRY",4663,"$22,133.83",4.8881748071979434,"$11,483,401.48"
"ZINC FOLKART SLEIGH BELLS",4647,"$7,665.11",1.7350429799426934,"$226,708.34"
"NO SINGING METAL SIGN",4636,"$9,573.60",2.0828350515463918,"$686,456.64"
"HAND WARMER BABUSHKA DESIGN",4633,"$6,149.33",1.8827090301003344,"$407,301.60"
"SLEEPING CAT ERASERS",4598,"$886.08",0.20615384615384615385,"$57,794.28"
"PLASTERS IN TIN VINTAGE PAISLEY ",4573,"$7,346.69",1.6781124497991968,"$267,653.68"
"WHITE SPOT RED CERAMIC DRAWER KNOB",4564,"$5,618.04",1.2923492063492063,"$209,574.70"
"WRAP 50'S  CHRISTMAS",4563,"$1,892.46",0.41920000000000000000,"$86,818.44"
"TRAVEL CARD WALLET VINTAGE TICKET",4552,"$1,880.16",0.41940199335548172757,"$148,358.52"
"GREEN VINTAGE SPOT BEAKER",4505,"$4,261.89",0.84859259259259259259,"$4,661,599.40"
"4 TRADITIONAL SPINNING TOPS",4491,"$5,960.08",1.4301861702127660,"$407,033.82"
"SMALL DOLLY MIX DESIGN ORANGE BOWL",4491,"$2,063.29",0.48174142480211081794,"$76,047.26"
"PAINTED METAL PEARS ASSORTED",4476,"$7,491.40",1.6926243093922652,"$222,991.20"
