"month","country","monthly_rev"
"2011-04-01 00:00:00","USA","$383.95"
"2011-04-01 00:00:00","Australia","$333.40"
"2011-04-01 00:00:00","Unspecified","$299.10"
"2011-04-01 00:00:00","Channel Islands","$293.00"
"2011-04-01 00:00:00","European Community","$191.40"
"2011-04-01 00:00:00","Cyprus","-$35.80"
"2011-04-01 00:00:00","Czech Republic","-$57.51"
"2011-05-01 00:00:00","United Kingdom","$525,573.35"
"2011-05-01 00:00:00","Netherlands","$29,185.88"
"2011-05-01 00:00:00","Germany","$25,571.35"
"2011-05-01 00:00:00","France","$17,527.08"
"2011-05-01 00:00:00","EIRE","$15,894.78"
"2011-05-01 00:00:00","Australia","$13,628.51"
"2011-05-01 00:00:00","Switzerland","$3,567.21"
"2011-05-01 00:00:00","Spain","$3,257.60"
"2011-05-01 00:00:00","Belgium","$2,727.00"
"2011-05-01 00:00:00","Sweden","$2,664.98"
"2011-05-01 00:00:00","Poland","$1,522.37"
"2011-05-01 00:00:00","Japan","$1,351.45"
"2011-05-01 00:00:00","Austria","$1,249.43"
"2011-05-01 00:00:00","Channel Islands","$903.79"
"2011-05-01 00:00:00","Unspecified","$852.68"
"2011-05-01 00:00:00","Portugal","$587.83"
"2011-05-01 00:00:00","Italy","$587.45"
"2011-05-01 00:00:00","Bahrain","$548.40"
"2011-05-01 00:00:00","Canada","$534.24"
"2011-05-01 00:00:00","Denmark","$515.70"
"2011-06-01 00:00:00","United Kingdom","$472,509.25"
"2011-06-01 00:00:00","Netherlands","$26,843.09"
"2011-06-01 00:00:00","Australia","$25,164.77"
"2011-06-01 00:00:00","EIRE","$19,822.79"
"2011-06-01 00:00:00","France","$15,722.43"
"2011-06-01 00:00:00","Germany","$13,081.02"
"2011-06-01 00:00:00","Switzerland","$7,882.20"
"2011-06-01 00:00:00","Norway","$5,886.86"
"2011-06-01 00:00:00","Belgium","$4,273.17"
"2011-06-01 00:00:00","Spain","$3,332.44"
"2011-06-01 00:00:00","Denmark","$3,261.15"
"2011-06-01 00:00:00","Channel Islands","$2,060.03"
"2011-06-01 00:00:00","Japan","$1,607.04"
"2011-06-01 00:00:00","Canada","$1,171.46"
"2011-06-01 00:00:00","Cyprus","$1,109.32"
"2011-06-01 00:00:00","Portugal","$879.51"
"2011-06-01 00:00:00","Malta","$850.41"
"2011-06-01 00:00:00","Sweden","$832.00"
"2011-06-01 00:00:00","European Community","$423.55"
"2011-06-01 00:00:00","Iceland","$382.52"
"2011-06-01 00:00:00","Finland","$329.56"
"2011-06-01 00:00:00","Poland","$264.74"
"2011-06-01 00:00:00","Unspecified","$185.78"
"2011-06-01 00:00:00","Italy","$162.27"
"2011-06-01 00:00:00","Austria","-$24.20"
"2011-07-01 00:00:00","United Kingdom","$461,147.60"
"2011-07-01 00:00:00","EIRE","$40,874.15"
"2011-07-01 00:00:00","Germany","$15,721.66"
"2011-07-01 00:00:00","France","$9,888.99"
"2011-07-01 00:00:00","Spain","$7,578.17"
"2011-07-01 00:00:00","Sweden","$6,802.09"
"2011-07-01 00:00:00","Australia","$4,767.57"
"2011-07-01 00:00:00","Singapore","$3,949.32"
"2011-07-01 00:00:00","Japan","$3,854.40"
"2011-07-01 00:00:00","Switzerland","$3,540.65"
"2011-07-01 00:00:00","Finland","$2,996.73"
"2011-07-01 00:00:00","Belgium","$2,473.62"
"2011-07-01 00:00:00","Portugal","$2,287.85"
"2011-07-01 00:00:00","Canada","$1,768.58"
"2011-07-01 00:00:00","Israel","$1,430.75"
"2011-07-01 00:00:00","Austria","$1,191.95"
"2011-07-01 00:00:00","Norway","$890.07"
"2011-07-01 00:00:00","Unspecified","$798.48"
"2011-07-01 00:00:00","Poland","$678.45"
"2011-07-01 00:00:00","European Community","$676.80"
"2011-07-01 00:00:00","Denmark","$376.24"
"2011-07-01 00:00:00","Greece","$371.24"
"2011-07-01 00:00:00","Italy","$147.10"
"2011-07-01 00:00:00","Netherlands","$26.02"
"2011-08-01 00:00:00","United Kingdom","$477,008.41"
"2011-08-01 00:00:00","Netherlands","$39,655.81"
"2011-08-01 00:00:00","Australia","$22,489.20"
"2011-08-01 00:00:00","Germany","$19,023.65"
"2011-08-01 00:00:00","France","$13,789.26"
"2011-08-01 00:00:00","EIRE","$10,781.00"
"2011-08-01 00:00:00","Channel Islands","$4,892.53"
"2011-08-01 00:00:00","Switzerland","$4,882.19"
"2011-08-01 00:00:00","Israel","$4,873.81"
"2011-08-01 00:00:00","Belgium","$3,536.12"
"2011-08-01 00:00:00","Spain","$3,330.41"
"2011-08-01 00:00:00","Norway","$1,984.46"
"2011-08-01 00:00:00","Italy","$1,934.80"
"2011-08-01 00:00:00","Austria","$1,516.08"
"2011-08-01 00:00:00","Sweden","$1,390.96"
"2011-08-01 00:00:00","Finland","$1,371.55"
"2011-08-01 00:00:00","Portugal","$1,206.40"
"2011-08-01 00:00:00","Malta","$1,103.25"
"2011-08-01 00:00:00","Iceland","$584.91"
"2011-08-01 00:00:00","Unspecified","$531.03"
"2011-08-01 00:00:00","Poland","$401.80"
"2011-08-01 00:00:00","Denmark","$78.60"
"2011-08-01 00:00:00","Canada","$51.56"
"2011-08-01 00:00:00","Japan","-$49.79"
"2011-09-01 00:00:00","United Kingdom","$776,529.84"
"2011-09-01 00:00:00","EIRE","$40,590.69"
"2011-09-01 00:00:00","Netherlands","$26,937.26"
"2011-09-01 00:00:00","France","$23,198.87"
"2011-09-01 00:00:00","Germany","$17,720.31"
"2011-09-01 00:00:00","Norway","$8,678.94"
"2011-09-01 00:00:00","Switzerland","$8,254.96"
"2011-09-01 00:00:00","Spain","$5,163.74"
"2011-09-01 00:00:00","Australia","$5,031.73"
"2011-09-01 00:00:00","Sweden","$4,575.21"
"2011-09-01 00:00:00","Denmark","$4,570.16"
"2011-09-01 00:00:00","Belgium","$4,197.82"
"2011-09-01 00:00:00","Portugal","$1,433.22"
"2011-09-01 00:00:00","Channel Islands","$1,321.65"
"2011-09-01 00:00:00","Finland","$1,105.45"
"2011-09-01 00:00:00","United Arab Emirates","$1,013.04"
"2011-09-01 00:00:00","Poland","$529.25"
"2011-09-01 00:00:00","Italy","$279.80"
"2011-09-01 00:00:00","Cyprus","$196.35"
"2011-09-01 00:00:00","Japan","$112.08"
"2011-10-01 00:00:00","United Kingdom","$782,777.88"
"2011-10-01 00:00:00","Netherlands","$40,708.65"
"2011-10-01 00:00:00","Germany","$30,614.27"
"2011-10-01 00:00:00","France","$25,032.04"
"2011-10-01 00:00:00","EIRE","$23,307.62"
"2011-10-01 00:00:00","Australia","$17,150.53"
"2011-10-01 00:00:00","Switzerland","$7,623.99"
"2011-10-01 00:00:00","Sweden","$5,766.16"
"2011-10-01 00:00:00","Belgium","$5,651.38"
"2011-10-01 00:00:00","Portugal","$5,277.42"
"2011-10-01 00:00:00","Spain","$5,078.65"
"2011-10-01 00:00:00","Cyprus","$4,216.52"
"2011-10-01 00:00:00","Norway","$3,687.23"
"2011-10-01 00:00:00","Italy","$3,410.79"
"2011-10-01 00:00:00","Finland","$2,804.12"
"2011-10-01 00:00:00","Channel Islands","$2,623.32"
"2011-10-01 00:00:00","Japan","$1,948.04"
"2011-10-01 00:00:00","Denmark","$1,438.11"
"2011-10-01 00:00:00","Iceland","$1,294.32"
"2011-10-01 00:00:00","Austria","$1,043.78"
"2011-10-01 00:00:00","RSA","$1,002.31"
"2011-10-01 00:00:00","Singapore","$999.26"
"2011-10-01 00:00:00","USA","$731.69"
"2011-10-01 00:00:00","Czech Republic","$277.48"
"2011-10-01 00:00:00","Israel","$138.03"
"2011-11-01 00:00:00","United Kingdom","$956,109.66"
"2011-11-01 00:00:00","France","$30,275.89"
"2011-11-01 00:00:00","EIRE","$29,148.03"
"2011-11-01 00:00:00","Germany","$26,044.35"
"2011-11-01 00:00:00","Netherlands","$25,856.01"
"2011-11-01 00:00:00","Spain","$8,533.87"
"2011-11-01 00:00:00","Japan","$8,460.08"
"2011-11-01 00:00:00","Switzerland","$8,116.96"
"2011-11-01 00:00:00","Australia","$6,805.99"
"2011-11-01 00:00:00","Norway","$6,527.50"
"2011-11-01 00:00:00","Belgium","$6,229.41"
"2011-11-01 00:00:00","Italy","$4,243.75"
"2011-11-01 00:00:00","Finland","$2,950.24"
"2011-11-01 00:00:00","Denmark","$2,699.57"
"2011-11-01 00:00:00","Portugal","$2,644.90"
"2011-11-01 00:00:00","Sweden","$2,612.71"
"2011-11-01 00:00:00","Channel Islands","$1,495.17"
"2011-11-01 00:00:00","Poland","$1,341.87"
"2011-11-01 00:00:00","Austria","$1,329.78"
"2011-11-01 00:00:00","Malta","$582.62"
"2011-11-01 00:00:00","Cyprus","$460.89"
"2011-11-01 00:00:00","Czech Republic","-$61.51"
"2011-12-01 00:00:00","United Kingdom","$297,920.47"
"2011-12-01 00:00:00","Netherlands","$11,728.02"
"2011-12-01 00:00:00","Germany","$7,804.70"
"2011-12-01 00:00:00","France","$7,048.83"
"2011-12-01 00:00:00","EIRE","$6,976.37"
"2011-12-01 00:00:00","Portugal","$2,801.95"
"2011-12-01 00:00:00","Norway","$2,785.70"
"2011-12-01 00:00:00","Belgium","$1,409.43"
"2011-12-01 00:00:00","Finland","$1,230.68"
"2011-12-01 00:00:00","Austria","$683.20"
"2011-12-01 00:00:00","Greece","$680.99"
"2011-12-01 00:00:00","USA","$615.28"
"2011-12-01 00:00:00","Spain","$271.43"
"2011-12-01 00:00:00","Iceland","$224.82"
"2011-12-01 00:00:00","Italy","$200.45"
"2011-12-01 00:00:00","Channel Islands","$194.15"
"2011-12-01 00:00:00","Denmark","$168.90"
"2011-12-01 00:00:00","Sweden","$0.00"
"2011-12-01 00:00:00","Malta","-$30.81"
"2011-12-01 00:00:00","Cyprus","-$91.25"
"2011-12-01 00:00:00","Japan","-$116.93"
